[16:0],[16:1],[16:2],[16:3],[16:4],[16:5],[16:6],[2:99],[2:102],[2:105],[2:108],[2:111],[2:114],[2:117],[11:1],[11:3],[11:5],[11:7],[11:9],[11:11],[0:81]
F1_GAP,F2_GAP,F3_GAP,F4_GAP,F5_GAP,F6_GAP,F7_GAP,F1_SUM_FORCE,F2_SUM_FORCE,F3_SUM_FORCE,F4_SUM_FORCE,F5_SUM_FORCE,F6_SUM_FORCE,F7_SUM_FORCE,F2_BD_FBK,F3_BD_FBK,F4_BD_FBK,F5_BD_FBK,F6_BD_FBK,F7_BD_FBK,H_REAL
26697.8,15016,9613.3,6401.9,4323.85,3556.95,2974.15,14253.7,16321.3,14842.5,13765.9,13339.6,11570.8,8971.44,1945.19,3814.92,4024.77,5840.41,5415.66,2902.14,2.68832
26698,15014.5,9614.5,6401,4324,3556.5,2974,14282.2,16338.9,14833.7,13818.6,13330.8,11634.5,8991.21,1944.69,3814.61,4030.17,5843.11,5416.15,2922.76,2.68722
26698,15014.5,9614.5,6401,4324,3556.5,2974,14282.2,16338.9,14833.7,13818.6,13330.8,11634.5,8991.21,1945.92,3814.53,4030.91,5837.97,5412.47,2923.25,2.68722
26698,15014.5,9614.5,6401,4324,3556.5,2974,14282.2,16338.9,14833.7,13818.6,13330.8,11634.5,8991.21,1945.92,3818.52,4033.12,5837.21,5407.56,2926.2,2.68722
26698,15014.5,9614.5,6401,4324,3556.5,2974,14282.2,16338.9,14833.7,13818.6,13330.8,11634.5,8991.21,1948.87,3815.68,4033.36,5837.38,5411.25,2944.85,2.68722
26698.7,15014.2,9614.85,6398.2,4325.4,3556.85,2973.65,14282.2,16338.9,14833.7,13818.6,13330.8,11634.5,8991.21,1950.83,3810.52,4035.57,5837.47,5420.82,2958.59,2.68722
26699,15014,9615,6397,4326,3557,2973.5,14293.2,16382.8,14866.7,13851.6,13258.3,11590.6,9030.76,1951.08,3808.47,4032.87,5835.53,5424.5,2959.09,2.6878
26699,15014,9615,6397,4326,3557,2973.5,14293.2,16382.8,14866.7,13851.6,13258.3,11590.6,9030.76,1952.3,3807.52,4038.76,5838.94,5420.57,2974.3,2.6878
26699,15014,9615,6397,4326,3557,2973.5,14293.2,16382.8,14866.7,13851.6,13258.3,11590.6,9030.76,1954.51,3804.25,4037.78,5843.33,5415.17,2979.7,2.6878
26699,15014,9615,6397,4326,3557,2973.5,14293.2,16382.8,14866.7,13851.6,13258.3,11590.6,9030.76,1960.89,3803.74,4037.78,5844.52,5416.65,2992.46,2.6878
26698.3,15011.2,9609.75,6398.4,4328.45,3558.4,2974.55,14293.2,16382.8,14866.7,13851.6,13258.3,11590.6,9030.76,1956.72,3801.02,4034.34,5843.18,5417.87,2999.34,2.6878
26698,15010,9607.5,6399,4329.5,3559,2975,14304.2,16387.2,14930.4,13856,13368.2,11610.4,9000,1958.68,3800.89,4038.03,5844.17,5424.99,2993.45,2.69203
26698,15010,9607.5,6399,4329.5,3559,2975,14304.2,16387.2,14930.4,13856,13368.2,11610.4,9000,1967.77,3803.17,4040.23,5845.53,5424.5,2999.34,2.69203
26698,15010,9607.5,6399,4329.5,3559,2975,14304.2,16387.2,14930.4,13856,13368.2,11610.4,9000,1972.43,3803.69,4039.74,5842.02,5428.67,3002.77,2.69203
26698,15010,9607.5,6399,4329.5,3559,2975,14304.2,16387.2,14930.4,13856,13368.2,11610.4,9000,1967.77,3804.89,4037.04,5840.39,5433.09,3002.77,2.69203
26697.7,15008.6,9602.95,6399.35,4327.4,3558.65,2976.75,14304.2,16387.2,14930.4,13856,13368.2,11610.4,9000,1962.86,3803.19,4041.22,5831.94,5432.6,3002.77,2.69203
26697.5,15008,9601,6399.5,4326.5,3558.5,2977.5,14306.4,16393.8,15022.7,13862.5,13355,11671.9,8927.49,1962.37,3803.01,4036.55,5836.69,5430.63,3005.23,2.6924
26697.5,15008,9601,6399.5,4326.5,3558.5,2977.5,14306.4,16393.8,15022.7,13862.5,13355,11671.9,8927.49,1960.16,3803.58,4035.82,5838.81,5437.75,3018.48,2.6924
26697.5,15008,9601,6399.5,4326.5,3558.5,2977.5,14306.4,16393.8,15022.7,13862.5,13355,11671.9,8927.49,1958.93,3799.99,4039.74,5839.69,5440.21,3028.3,2.6924
26697.5,15008,9601,6399.5,4326.5,3558.5,2977.5,14306.4,16393.8,15022.7,13862.5,13355,11671.9,8927.49,1958.68,3798.72,4041.22,5841.81,5447.57,3045.48,2.6924
26697.8,15008.7,9597.85,6396.35,4326.5,3557.1,2979.25,14306.4,16393.8,15022.7,13862.5,13355,11671.9,8927.49,1954.51,3795.54,4040.23,5844.71,5446.1,3052.84,2.6924
26698,15009,9596.5,6395,4326.5,3556.5,2980,14282.2,16382.8,15090.8,13902.1,13216.6,11616.9,8945.07,1960.16,3794.88,4038.76,5842.69,5438.98,3058.73,2.69337
