 [16:0] ,[16:1],[16:2],[16:3],[16:4],[16:5],[16:6],[2:99],[2:102],[2:105],[2:108],[2:111],[2:114],[2:117],[11:1],[11:3],[11:5],[11:7],[11:9],[11:11],[0:81]
F1_GAP,F2_GAP,F3_GAP,F4_GAP,F5_GAP,F6_GAP,F7_GAP,F1_SUM_FORCE,F2_SUM_FORCE,F3_SUM_FORCE,F4_SUM_FORCE,F5_SUM_FORCE,F6_SUM_FORCE,F7_SUM_FORCE,F2_BD_FBK,F3_BD_FBK,F4_BD_FBK,F5_BD_FBK,F6_BD_FBK,F7_BD_FBK,Thickness(mm)
26698,15040.5,9603.5,6403,4334.5,3560.5,2967.5,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2016.61,3938.28,4001.21,5826.25,5374.43,2497.66,2.70604
26696.8,15032.5,9599.9,6396.2,4332.5,3559.7,2968.7,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2019.31,3933.96,3996.3,5825.86,5375.17,2505.03,2.70604
26696.5,15030.5,9599,6394.5,4332,3559.5,2969,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2027.65,3930.59,4004.89,5824.94,5377.13,2504.54,2.70086
26696.5,15030.5,9599,6394.5,4332,3559.5,2969,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2027.16,3928.38,4001.95,5827.84,5376.64,2501.1,2.70086
26696.5,15030.5,9599,6394.5,4332,3559.5,2969,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2031.33,3923.5,3997.04,5832.48,5378.6,2520.73,2.70086
26696.5,15030.5,9599,6394.5,4332,3559.5,2969,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2022.25,3920.68,4000.47,5831.49,5383.02,2528.59,2.70086
26697.3,15026.1,9594.6,6395.3,4331.6,3557.5,2971,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2014.89,3920.36,4009.06,5842.01,5393.08,2526.63,2.70086
26697.5,15025,9593.5,6395.5,4331.5,3557,2971.5,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2013.17,3920.39,4003.91,5855.04,5398.48,2526.63,2.69939
26697.5,15025,9593.5,6395.5,4331.5,3557,2971.5,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2015.38,3918.98,4003.42,5854.02,5401.43,2541.35,2.69939
26697.5,15025,9593.5,6395.5,4331.5,3557,2971.5,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2011.21,3916.54,4005.63,5846.44,5399.22,2561.48,2.69939
26697.5,15025,9593.5,6395.5,4331.5,3557,2971.5,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2011.21,3914.5,4013.73,5844.23,5404.86,2571.79,2.69939
26696.7,15023.8,9593.1,6398.3,4334.3,3557.4,2969.9,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2006.79,3910.58,4010.05,5850.93,5404.86,2571.29,2.69939
26696.5,15023.5,9593,6399,4335,3557.5,2969.5,14227.3,16330.1,15123.8,13805.4,13306.6,11584,8960.45,2007.04,3907.03,4012.5,5853.96,5411.49,2585.04,2.69863
26696.5,15023.5,9593,6399,4335,3557.5,2969.5,14227.3,16330.1,15123.8,13805.4,13306.6,11584,8960.45,2004.83,3902.63,4006.85,5844.17,5409.77,2595.84,2.69863
26696.5,15023.5,9593,6399,4335,3557.5,2969.5,14227.3,16330.1,15123.8,13805.4,13306.6,11584,8960.45,2005.81,3898.74,4007.35,5842.25,5405.85,2601.24,2.69863
26696.5,15023.5,9593,6399,4335,3557.5,2969.5,14227.3,16330.1,15123.8,13805.4,13306.6,11584,8960.45,2002.37,3894.49,4012.75,5855.82,5402.41,2600.75,2.69863
